depth,SP,GR,LLD,LLS,DEN,AC,litholody
1251.7,14.791,98.133,1.753,1.448,2.16,114.361,shale
1251.8,14.848,99.124,1.783,1.476,2.13,111.035,shale
1251.9,14.907,99.62,1.784,1.478,2.101,109.748,shale
1252,14.974,99.639,1.756,1.454,2.079,111.046,shale
1252.1,15.055,99.204,1.701,1.409,2.063,114.353,shale
1252.2,15.152,98.343,1.629,1.351,2.055,117.91,shale
1252.3,15.268,96.958,1.548,1.285,2.053,120.111,shale
1252.4,15.406,95.086,1.466,1.218,2.052,121.162,shale
1252.5,15.564,92.946,1.388,1.154,2.05,122.259,shale
1252.6,15.744,90.872,1.318,1.095,2.045,124.359,shale
1252.7,15.933,89.227,1.258,1.046,2.037,127.661,shale
1252.8,16.113,88.234,1.208,1.005,2.031,131.463,shale
1252.9,16.258,87.879,1.17,0.974,2.033,135.042,shale
1253,16.353,88.006,1.143,0.953,2.047,138.312,shale
1253.1,16.403,88.337,1.129,0.944,2.073,141.024,shale
1253.2,16.436,88.652,1.129,0.95,2.106,142.337,shale
1253.3,16.48,88.856,1.145,0.969,2.136,141.733,shale
1253.4,16.547,88.922,1.178,1.002,2.154,139.651,shale
1253.5,16.62,88.891,1.226,1.045,2.15,137.212,shale
1253.6,16.658,88.748,1.288,1.095,2.126,135.146,shale
1253.7,16.618,88.443,1.356,1.147,2.084,133.131,shale
1253.8,16.481,87.897,1.424,1.195,2.033,130.373,shale
1253.9,16.274,87.038,1.482,1.236,1.98,126.495,shale
1254,16.055,85.941,1.521,1.265,1.933,122.575,shale
1254.1,15.895,84.827,1.53,1.273,1.896,120.642,shale
1254.2,15.841,83.924,1.504,1.252,1.875,120.96,shale
1254.3,15.9,83.36,1.447,1.206,1.871,122.297,shale
1254.4,16.039,83.165,1.377,1.147,1.886,123.87,shale
1254.5,16.208,83.344,1.313,1.093,1.915,126.024,shale
1254.6,16.369,83.805,1.268,1.058,1.954,129.065,shale
1254.7,16.505,84.465,1.253,1.047,1.997,132.061,shale
1254.8,16.614,85.299,1.27,1.064,2.04,133.232,shale
1254.9,16.696,86.271,1.321,1.108,2.082,131.534,shale
1255,16.746,87.266,1.4,1.173,2.123,127.591,shale
1255.1,16.762,88.153,1.494,1.25,2.163,122.367,shale
1255.2,16.75,88.875,1.587,1.328,2.203,117.137,shale
1255.3,16.731,89.471,1.66,1.392,2.237,113.299,shale
1255.4,16.736,89.978,1.702,1.431,2.261,111.192,shale
1255.5,16.787,90.441,1.717,1.446,2.275,110.06,shale
1255.6,16.887,90.806,1.715,1.444,2.278,109.297,shale
1255.7,17.021,91.05,1.709,1.44,2.275,109.187,shale
1255.8,17.17,91.254,1.706,1.439,2.269,109.964,shale
1255.9,17.319,91.554,1.707,1.443,2.26,110.927,shale
1256,17.457,92.101,1.707,1.449,2.25,111.283,shale
1256.1,17.579,92.981,1.701,1.453,2.239,111.387,shale
1256.2,17.677,94.04,1.685,1.451,2.226,111.844,shale
1256.3,17.737,94.925,1.655,1.439,2.211,112.526,shale
1256.4,17.755,95.327,1.609,1.412,2.195,112.998,shale
1256.5,17.739,95.256,1.552,1.372,2.179,113.451,shale
1256.6,17.709,94.987,1.492,1.322,2.166,114.796,shale
1256.7,17.691,94.937,1.434,1.271,2.157,117.507,shale
1256.8,17.707,95.373,1.386,1.225,2.156,120.902,shale
1256.9,17.754,96.216,1.351,1.19,2.162,123.847,shale
1257,17.816,97.228,1.33,1.167,2.174,125.616,shale
1257.1,17.867,98.154,1.321,1.154,2.189,126.147,shale
