depth,SP,GR,LLD,LLS,DEN,AC,lithology
1516.2,76.039,60.254,5.72,3.497,2.122,101.496,shale
1516.3,76.048,60.35,5.464,3.35,2.119,100.498,shale
1516.4,76.079,60.523,5.174,3.185,2.117,101.942,shale
1516.5,76.132,61.035,4.884,3.023,2.118,105.452,shale
1516.6,76.201,61.879,4.636,2.883,2.12,110.239,shale
1516.7,76.27,62.77,4.465,2.785,2.122,114.927,sand
1516.8,76.332,63.317,4.39,2.74,2.122,118.085,sand
1516.9,76.39,63.378,4.417,2.748,2.121,119.618,sand
1517,76.453,63.115,4.537,2.806,2.117,120.48,sand
1517.1,76.527,62.793,4.733,2.903,2.113,121.236,sand
1517.2,76.608,62.564,4.981,3.026,2.11,121.623,sand
1517.3,76.682,62.409,5.253,3.161,2.11,121.48,sand
1517.4,76.738,62.205,5.528,3.294,2.111,120.854,sand
1517.5,76.775,61.817,5.796,3.423,2.114,119.865,sand
1517.6,76.805,61.225,6.058,3.548,2.117,118.859,sand
1517.7,76.84,60.484,6.313,3.67,2.119,118.242,sand
1517.8,76.884,59.613,6.546,3.783,2.118,118.181,sand
1517.9,76.93,58.554,6.731,3.875,2.114,118.599,sand
1518,76.972,57.322,6.849,3.937,2.108,119.332,sand
1518.1,76.995,56.084,6.895,3.965,2.1,120.347,sand
1518.2,76.992,55.092,6.889,3.965,2.093,121.539,sand
1518.3,76.966,54.531,6.854,3.95,2.088,122.55,sand
1518.4,76.928,54.458,6.815,3.931,2.085,123.122,sand
1518.5,76.892,54.868,6.785,3.917,2.086,123.356,sand
1518.6,76.861,55.708,6.765,3.908,2.091,123.363,sand
1518.7,76.83,56.853,6.756,3.905,2.098,123.02,sand
1518.8,76.785,58.09,6.754,3.908,2.106,122.159,sand
1518.9,76.714,59.171,6.753,3.912,2.114,120.782,sand
1519,76.615,59.896,6.739,3.913,2.123,119.206,sand
1519.1,76.497,60.259,6.679,3.894,2.134,117.639,sand
1519.2,76.391,60.508,6.521,3.828,2.147,115.939,sand
1519.3,76.328,61.057,6.213,3.686,2.162,113.945,sand
1519.4,76.321,62.154,5.754,3.459,2.177,111.744,shale
1519.5,76.353,63.672,5.207,3.177,2.188,109.893,shale
1519.6,76.392,65.121,4.67,2.891,2.193,109.097,shale
1519.7,76.415,65.963,4.224,2.645,2.19,109.74,shale
1519.8,76.415,66.017,3.908,2.467,2.181,111.506,shale
1519.9,76.407,65.615,3.737,2.367,2.168,113.667,shale
1520,76.408,65.249,3.71,2.345,2.154,115.644,shale
1520.1,76.427,65.224,3.821,2.401,2.14,117.245,shale
1520.2,76.452,65.486,4.062,2.53,2.129,118.562,sand
1520.3,76.462,65.729,4.414,2.724,2.122,119.552,sand
1520.4,76.446,65.729,4.836,2.962,2.118,120.24,sand
1520.5,76.404,65.432,5.266,3.209,2.117,120.7,sand
1520.6,76.343,64.967,5.627,3.424,2.117,121.008,sand
1520.7,76.265,64.545,5.876,3.578,2.117,121.284,sand
1520.8,76.163,64.285,6.008,3.664,2.116,121.51,sand
1520.9,76.022,64.048,6.049,3.695,2.116,121.508,sand
1521,75.839,63.633,6.021,3.684,2.116,121.148,sand
1521.1,75.624,62.972,5.937,3.639,2.118,120.527,sand
1521.2,75.402,62.266,5.806,3.565,2.123,119.901,sand
1521.3,75.193,61.883,5.649,3.476,2.128,119.495,sand
1521.4,75.004,62.135,5.493,3.386,2.133,119.296,sand
1521.5,74.82,62.975,5.37,3.314,2.136,119.178,sand
1521.6,74.619,64.116,5.298,3.27,2.138,119.081,sand
1521.7,74.388,65.205,5.285,3.257,2.138,119.083,sand
1521.8,74.13,65.929,5.32,3.27,2.138,119.256,sand
1521.9,73.864,66.137,5.379,3.296,2.137,119.512,sand
1522,73.615,65.875,5.441,3.323,2.137,119.709,sand
1522.1,73.399,65.245,5.494,3.346,2.135,119.808,sand
1522.2,73.214,64.363,5.549,3.37,2.132,119.904,sand
1522.3,73.04,63.295,5.632,3.411,2.129,120.072,sand
1522.4,72.851,62.006,5.777,3.486,2.127,120.306,sand
1522.5,72.625,60.554,6.006,3.612,2.128,120.52,sand
1522.6,72.355,59.089,6.314,3.788,2.132,120.536,sand
